"status","kind","title","source_path","markdown_source","staged_path"
"to_publish","html_existing","dS/CFT: Holography in Our Universe","01_TAMESIS_CORE\01_Foundation\Core_Papers\paper_ds_cft\index.html","","publicar/01_TAMESIS_CORE/01_Foundation/Core_Papers/paper_ds_cft/index.html"
"to_publish","html_existing","Emergent Time: Time Is Not Fundamental","01_TAMESIS_CORE\01_Foundation\Core_Papers\paper_emergent_time\index.html","","publicar/01_TAMESIS_CORE/01_Foundation/Core_Papers/paper_emergent_time/index.html"
"to_publish","html_existing","Fine Structure Constant: Why α = 1/137?","01_TAMESIS_CORE\01_Foundation\Core_Papers\paper_fine_structure\index.html","","publicar/01_TAMESIS_CORE/01_Foundation/Core_Papers/paper_fine_structure/index.html"
"to_publish","html_existing","The Holographic Universe: Information, Entropy, and the Nature of Reality","01_TAMESIS_CORE\01_Foundation\Core_Papers\paper_holografia\index.html","","publicar/01_TAMESIS_CORE/01_Foundation/Core_Papers/paper_holografia/index.html"
"to_publish","html_existing","Horizon Access: Can We Read the Holographic Boundary?","01_TAMESIS_CORE\01_Foundation\Core_Papers\paper_horizon_access\index.html","","publicar/01_TAMESIS_CORE/01_Foundation/Core_Papers/paper_horizon_access/index.html"
"to_publish","html_existing","The Origin of Omega: Why Ω = 117.038?","01_TAMESIS_CORE\01_Foundation\Core_Papers\paper_origin_omega\index.html","","publicar/01_TAMESIS_CORE/01_Foundation/Core_Papers/paper_origin_omega/index.html"
"to_publish","html_existing","Experimental Test of Entropic Quantum Mechanics","01_TAMESIS_CORE\01_Foundation\Core_Papers\paper_schrodinger_test\index.html","","publicar/01_TAMESIS_CORE/01_Foundation/Core_Papers/paper_schrodinger_test/index.html"
"to_publish","html_existing","Force Unification in Entropic Gravity","01_TAMESIS_CORE\01_Foundation\Core_Papers\paper_unification\index.html","","publicar/01_TAMESIS_CORE/01_Foundation/Core_Papers/paper_unification/index.html"
"to_publish","html_existing","The Tamesis Theory: Structural Unity and Falsification","01_TAMESIS_CORE\01_Foundation\paper.html","","publicar/01_TAMESIS_CORE/01_Foundation/paper.html"
"to_publish","html_existing","Absolute Inevitability: The Tamesis Theory Final Decree","01_TAMESIS_CORE\01_Foundation\paper_final.html","","publicar/01_TAMESIS_CORE/01_Foundation/paper_final.html"
"to_publish","html_existing","Information as Geometry: A Computational Verification of Entropic Gravity","01_TAMESIS_CORE\01_Foundation\Scientific_Engines\EntropicGravity_Engine\index.html","","publicar/01_TAMESIS_CORE/01_Foundation/Scientific_Engines/EntropicGravity_Engine/index.html"
"to_publish","html_existing","Informação como Geometria: Uma Verificação Computacional da Gravidade Entrópica","01_TAMESIS_CORE\01_Foundation\Scientific_Engines\EntropicGravity_Engine\index_ptbr.html","","publicar/01_TAMESIS_CORE/01_Foundation/Scientific_Engines/EntropicGravity_Engine/index_ptbr.html"
"to_publish","markdown_converted","Information as Geometry: A Computational Verification of ...","01_TAMESIS_CORE\01_Foundation\Scientific_Engines\EntropicGravity_Engine\PAPER.html","01_TAMESIS_CORE\01_Foundation\Scientific_Engines\EntropicGravity_Engine\PAPER.md","publicar/01_TAMESIS_CORE/01_Foundation/Scientific_Engines/EntropicGravity_Engine/PAPER.html"
"to_publish","html_existing","The Holographic Origin of Matter and Dynamics: A Unified Geometric Framework","01_TAMESIS_CORE\01_Foundation\Scientific_Engines\HolographicOrigin\index.html","","publicar/01_TAMESIS_CORE/01_Foundation/Scientific_Engines/HolographicOrigin/index.html"
"to_publish","markdown_converted","The Holographic Origin of Matter and Dynamics: A Unified ...","01_TAMESIS_CORE\01_Foundation\Scientific_Engines\HolographicOrigin\LANDMARK_PAPER.html","01_TAMESIS_CORE\01_Foundation\Scientific_Engines\HolographicOrigin\LANDMARK_PAPER.md","publicar/01_TAMESIS_CORE/01_Foundation/Scientific_Engines/HolographicOrigin/LANDMARK_PAPER.html"
"to_publish","html_existing","The Reactive Universe: A Unified Entropic Solution","01_TAMESIS_CORE\01_Foundation\Scientific_Engines\ReactiveCosmoMapper\index.html","","publicar/01_TAMESIS_CORE/01_Foundation/Scientific_Engines/ReactiveCosmoMapper/index.html"
"to_publish","html_existing","O Universo Reativo: Uma Solução Entrópica Unificada","01_TAMESIS_CORE\01_Foundation\Scientific_Engines\ReactiveCosmoMapper\index_ptbr.html","","publicar/01_TAMESIS_CORE/01_Foundation/Scientific_Engines/ReactiveCosmoMapper/index_ptbr.html"
"to_publish","markdown_converted","THE REACTIVE UNIVERSE: A Computational Solution to the Da...","01_TAMESIS_CORE\01_Foundation\Scientific_Engines\ReactiveCosmoMapper\THE_REACTIVE_UNIVERSE_PAPER.html","01_TAMESIS_CORE\01_Foundation\Scientific_Engines\ReactiveCosmoMapper\THE_REACTIVE_UNIVERSE_PAPER.md","publicar/01_TAMESIS_CORE/01_Foundation/Scientific_Engines/ReactiveCosmoMapper/THE_REACTIVE_UNIVERSE_PAPER.html"
"to_publish","html_existing","The Informational Architecture of Reality: A Unified Formulation – Douglas H. M. Fulber","01_TAMESIS_CORE\01_Foundation\The_Tamesis_Manuscript.html","","publicar/01_TAMESIS_CORE/01_Foundation/The_Tamesis_Manuscript.html"
"to_publish","markdown_converted","Derivation of Fundamental Electronic Properties from Holo...","01_TAMESIS_CORE\01_Foundation\Theoretical_Labs\DerivationofFundamental\docs\relatorios\PAPER_THE_GEOMETRY_OF_MATTER.html","01_TAMESIS_CORE\01_Foundation\Theoretical_Labs\DerivationofFundamental\docs\relatorios\PAPER_THE_GEOMETRY_OF_MATTER.md","publicar/01_TAMESIS_CORE/01_Foundation/Theoretical_Labs/DerivationofFundamental/docs/relatorios/PAPER_THE_GEOMETRY_OF_MATTER.html"
"to_publish","markdown_converted","PlanckDynamics: A Reactive Entropic Solution to the Dark ...","01_TAMESIS_CORE\01_Foundation\Theoretical_Labs\PlanckDynamics_Sim\docs\scientific_paper.html","01_TAMESIS_CORE\01_Foundation\Theoretical_Labs\PlanckDynamics_Sim\docs\scientific_paper.md","publicar/01_TAMESIS_CORE/01_Foundation/Theoretical_Labs/PlanckDynamics_Sim/docs/scientific_paper.html"
"to_publish","html_existing","The Holographic Origin of Matter and Dynamics - Complete Papers","01_TAMESIS_CORE\01_Foundation\unified_papers.html","","publicar/01_TAMESIS_CORE/01_Foundation/unified_papers.html"
"to_publish","html_existing","The Topological Origin of Spin: Fermions as Genus-1 Geometrodynamic Defects | TAMESIS Framework","01_TAMESIS_CORE\02_Experimental_Validation\Black_Hole_Information\origins\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Black_Hole_Information/origins/index.html"
"to_publish","html_existing","Black Hole Information Paradox: Resolved","01_TAMESIS_CORE\02_Experimental_Validation\Black_Hole_Information\paper_information_paradox\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Black_Hole_Information/paper_information_paradox/index.html"
"to_publish","html_existing","Black Hole Singularity: The Center Is Our Past","01_TAMESIS_CORE\02_Experimental_Validation\Black_Hole_Information\paper_singularity\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Black_Hole_Information/paper_singularity/index.html"
"to_publish","html_existing","Macroscopic Wormholes: From Leptons to Spacecraft","01_TAMESIS_CORE\02_Experimental_Validation\Black_Hole_Information\paper_wormholes\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Black_Hole_Information/paper_wormholes/index.html"
"to_publish","html_existing","Information Conservation in Black Hole Evaporation: The Page Curve via Unitary Scrambling | TAMESIS Framework","01_TAMESIS_CORE\02_Experimental_Validation\Black_Hole_Information\paradox\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Black_Hole_Information/paradox/index.html"
"to_publish","html_existing","The Vacuum Catastrophe Solved: Holographic Dark Energy from Horizon Entropy | TAMESIS Framework","01_TAMESIS_CORE\02_Experimental_Validation\Cosmology\lambda\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Cosmology/lambda/index.html"
"to_publish","html_existing","CMB B-modes: The Smoking Gun Test","01_TAMESIS_CORE\02_Experimental_Validation\Cosmology\paper_cmb_bmodes\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Cosmology/paper_cmb_bmodes/index.html"
"to_publish","html_existing","Cosmological Constant: The 10¹²⁰ Problem Dissolved","01_TAMESIS_CORE\02_Experimental_Validation\Cosmology\paper_cosmological_constant\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Cosmology/paper_cosmological_constant/index.html"
"to_publish","html_existing","Cosmological Voids: Giant Structures Challenge ΛCDM","01_TAMESIS_CORE\02_Experimental_Validation\Cosmology\paper_cosmological_voids\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Cosmology/paper_cosmological_voids/index.html"
"to_publish","html_existing","Gravitational Waves and Entropic Gravity","01_TAMESIS_CORE\02_Experimental_Validation\Cosmology\paper_gravitational_waves\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Cosmology/paper_gravitational_waves/index.html"
"to_publish","html_existing","Resolving the Hubble Tension with Entropic Gravity","01_TAMESIS_CORE\02_Experimental_Validation\Cosmology\paper_hubble_tension\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Cosmology/paper_hubble_tension/index.html"
"to_publish","html_existing","Inflation Without Inflaton: BH Interior as Natural Inflation","01_TAMESIS_CORE\02_Experimental_Validation\Cosmology\paper_inflation\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Cosmology/paper_inflation/index.html"
"to_publish","html_existing","JWST Early Galaxies: ΛCDM Failure, TAMESIS Success","01_TAMESIS_CORE\02_Experimental_Validation\Cosmology\paper_jwst_galaxies\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Cosmology/paper_jwst_galaxies/index.html"
"to_publish","html_existing","External Field Effect Validation — Entropic Gravity Test","01_TAMESIS_CORE\02_Experimental_Validation\example.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/example.html"
"to_publish","html_existing","External Field Effect Validation — Entropic Gravity Test","01_TAMESIS_CORE\02_Experimental_Validation\MOND_EFE\efe\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/MOND_EFE/efe/index.html"
"to_publish","html_existing","MOND Detection in Wide Binary Stars — Entropic Gravity Test","01_TAMESIS_CORE\02_Experimental_Validation\MOND_EFE\lab_gravity\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/MOND_EFE/lab_gravity/index.html"
"to_publish","html_existing","Galaxy Cluster Lensing Without Dark Matter","01_TAMESIS_CORE\02_Experimental_Validation\MOND_EFE\paper_cluster_lensing\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/MOND_EFE/paper_cluster_lensing/index.html"
"to_publish","html_existing","Galactic Rotation Curves Without Dark Matter: Definitive Validation of Entropic Gravity","01_TAMESIS_CORE\02_Experimental_Validation\MOND_EFE\paper_validacao_galactica\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/MOND_EFE/paper_validacao_galactica/index.html"
"to_publish","html_existing","Electroweak Unification via Geometric Torsion: The 3/13 Mix | TAMESIS Framework","01_TAMESIS_CORE\02_Experimental_Validation\Particle_Physics\electroweak\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Particle_Physics/electroweak/index.html"
"to_publish","html_existing","Neutrino Mass from Topological Defects: The Genus-Mass Relation | TAMESIS Framework","01_TAMESIS_CORE\02_Experimental_Validation\Particle_Physics\neutrinos\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Particle_Physics/neutrinos/index.html"
"to_publish","html_existing","CP Violation: Chirality from the Parent Universe","01_TAMESIS_CORE\02_Experimental_Validation\Particle_Physics\paper_cp_violation\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Particle_Physics/paper_cp_violation/index.html"
"to_publish","html_existing","Dark Matter Candidates in TAMESIS","01_TAMESIS_CORE\02_Experimental_Validation\Particle_Physics\paper_dark_candidates\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Particle_Physics/paper_dark_candidates/index.html"
"to_publish","html_existing","Flavor Anomalies from Topology","01_TAMESIS_CORE\02_Experimental_Validation\Particle_Physics\paper_flavor_anomalies\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Particle_Physics/paper_flavor_anomalies/index.html"
"to_publish","html_existing","Heavy Quark Topology: Mass from Knot Complexity","01_TAMESIS_CORE\02_Experimental_Validation\Particle_Physics\paper_heavy_quarks\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Particle_Physics/paper_heavy_quarks/index.html"
"to_publish","html_existing","The Higgs as Holographic Medium","01_TAMESIS_CORE\02_Experimental_Validation\Particle_Physics\paper_higgs_topology\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Particle_Physics/paper_higgs_topology/index.html"
"to_publish","html_existing","Neutrino Oscillations: Unknots and Flavor Mixing","01_TAMESIS_CORE\02_Experimental_Validation\Particle_Physics\paper_neutrino_oscillations\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Particle_Physics/paper_neutrino_oscillations/index.html"
"to_publish","html_existing","Neutrino Mass from Topological Constraints: The Unknot Hypothesis","01_TAMESIS_CORE\02_Experimental_Validation\Particle_Physics\paper_neutrinos\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Particle_Physics/paper_neutrinos/index.html"
"to_publish","html_existing","Strong CP Problem: θ = 0 Topologically","01_TAMESIS_CORE\02_Experimental_Validation\Particle_Physics\paper_strong_cp\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Particle_Physics/paper_strong_cp/index.html"
"to_publish","html_existing","Is Supersymmetry Required?","01_TAMESIS_CORE\02_Experimental_Validation\Particle_Physics\paper_susy\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Particle_Physics/paper_susy/index.html"
"to_publish","html_existing","Topological Mass Generation: Quark Hierarchies from Prime Knot Energies | TAMESIS Framework","01_TAMESIS_CORE\02_Experimental_Validation\Particle_Physics\quarks\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Particle_Physics/quarks/index.html"
"to_publish","html_existing","The Quantum-to-Classical Transition: Determining the Critical Mass Mc | TAMESIS Framework","01_TAMESIS_CORE\02_Experimental_Validation\Quantum_Classical_Transition\collapse_dynamics\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Quantum_Classical_Transition/collapse_dynamics/index.html"
"to_publish","html_existing","Universal Critical Mass for Quantum Collapse ($M_c$)","01_TAMESIS_CORE\02_Experimental_Validation\Quantum_Classical_Transition\massa_critica\hipotese_colapso_quantico\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Quantum_Classical_Transition/massa_critica/hipotese_colapso_quantico/index.html"
"to_publish","html_existing","Universal Critical Mass for Quantum Collapse (Mc) — Calibrated Model","01_TAMESIS_CORE\02_Experimental_Validation\Quantum_Classical_Transition\massa_critica\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Quantum_Classical_Transition/massa_critica/index.html"
"to_publish","html_existing","The Measurement Problem: Collapse Is Emergent","01_TAMESIS_CORE\02_Experimental_Validation\Quantum_Classical_Transition\paper_measurement_problem\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Quantum_Classical_Transition/paper_measurement_problem/index.html"
"to_publish","markdown_converted","Tamesis Mc v1.0: uma hip&#243;tese audit&#225;vel de tran...","01_TAMESIS_CORE\02_Experimental_Validation\Quantum_Classical_Transition\tamesis_mc_v1\reports\TAMESIS_MC_V1_PAPER.html","01_TAMESIS_CORE\02_Experimental_Validation\Quantum_Classical_Transition\tamesis_mc_v1\reports\TAMESIS_MC_V1_PAPER.md","publicar/01_TAMESIS_CORE/02_Experimental_Validation/Quantum_Classical_Transition/tamesis_mc_v1/reports/TAMESIS_MC_V1_PAPER.html"
"to_publish","html_existing","Spectral Geometry — Riemann Hypothesis Proof","01_TAMESIS_CORE\02_Experimental_Validation\riemann\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/riemann/index.html"
"to_publish","html_existing","The Tamesis Theory: Topological Axiomatic Model of Emergent Spacetime Information Systems | Final Synthesis","01_TAMESIS_CORE\02_Experimental_Validation\tamesis\index.html","","publicar/01_TAMESIS_CORE/02_Experimental_Validation/tamesis/index.html"
"to_publish","html_existing","Topological Emergence: Deriving Gauge Symmetries from 8D Phase Space","01_TAMESIS_CORE\03_Axiomatic_Closure\01_Gauge_Derivation\index.html","","publicar/01_TAMESIS_CORE/03_Axiomatic_Closure/01_Gauge_Derivation/index.html"
"to_publish","html_existing","Holographic Uniqueness: Deriving the MOND Interpolation Function","01_TAMESIS_CORE\03_Axiomatic_Closure\02_Holographic_Uniqueness\index.html","","publicar/01_TAMESIS_CORE/03_Axiomatic_Closure/02_Holographic_Uniqueness/index.html"
"to_publish","html_existing","The Tamesis Spectral Operator: Unified Dynamics from Topological Noise","01_TAMESIS_CORE\03_Axiomatic_Closure\02_Spectral_Operator\index.html","","publicar/01_TAMESIS_CORE/03_Axiomatic_Closure/02_Spectral_Operator/index.html"
"to_publish","html_existing","The Death Conditions: How to Kill Tamesis","01_TAMESIS_CORE\03_Axiomatic_Closure\05_Falsification_Criteria\index.html","","publicar/01_TAMESIS_CORE/03_Axiomatic_Closure/05_Falsification_Criteria/index.html"
"to_publish","html_existing","Absolute Inevitability: Final Axiomatic Reduction of the Tamesis Action","01_TAMESIS_CORE\03_Axiomatic_Closure\Axiom_Reduction\index.html","","publicar/01_TAMESIS_CORE/03_Axiomatic_Closure/Axiom_Reduction/index.html"
"to_publish","html_existing","Discontinuous Interference Transition: The Signature of Topological Collapse","01_TAMESIS_CORE\03_Axiomatic_Closure\Killer_Prediction\index.html","","publicar/01_TAMESIS_CORE/03_Axiomatic_Closure/Killer_Prediction/index.html"
"to_publish","html_existing","The Einstein Bridge: Operational Derivation of Field Equations","01_TAMESIS_CORE\03_Axiomatic_Closure\Operational_Derivation\01_Einstein_Bridge\index.html","","publicar/01_TAMESIS_CORE/03_Axiomatic_Closure/Operational_Derivation/01_Einstein_Bridge/index.html"
"to_publish","html_existing","The Yang-Mills Bridge: Gauge Dynamics from Phase Resistance","01_TAMESIS_CORE\03_Axiomatic_Closure\Operational_Derivation\02_Yang_Mills_Bridge\index.html","","publicar/01_TAMESIS_CORE/03_Axiomatic_Closure/Operational_Derivation/02_Yang_Mills_Bridge/index.html"
"to_publish","html_existing","The Bekenstein Bridge: MOND as a Holographic Noise Floor","01_TAMESIS_CORE\03_Axiomatic_Closure\Operational_Derivation\03_Holographic_Bridge\index.html","","publicar/01_TAMESIS_CORE/03_Axiomatic_Closure/Operational_Derivation/03_Holographic_Bridge/index.html"
"to_publish","html_existing","Stage 6: Operational Derivation Hub | Tamesis Theory","01_TAMESIS_CORE\03_Axiomatic_Closure\Operational_Derivation\index.html","","publicar/01_TAMESIS_CORE/03_Axiomatic_Closure/Operational_Derivation/index.html"
"to_publish","html_existing","Proposing Levitated Nanoparticle Interferometry","01_TAMESIS_CORE\03_Axiomatic_Closure\Tabletop_Experiment\index.html","","publicar/01_TAMESIS_CORE/03_Axiomatic_Closure/Tabletop_Experiment/index.html"
"to_publish","html_existing","The Tamesis Action: A Variational Principle for Unified Physics","01_TAMESIS_CORE\03_Axiomatic_Closure\Universe_Equation\01_Mc_Derivation\index.html","","publicar/01_TAMESIS_CORE/03_Axiomatic_Closure/Universe_Equation/01_Mc_Derivation/index.html"
"to_publish","html_existing","MOND Emergence from the Reactive Gravity Term","01_TAMESIS_CORE\03_Axiomatic_Closure\Universe_Equation\02_MOND_Emergence\index.html","","publicar/01_TAMESIS_CORE/03_Axiomatic_Closure/Universe_Equation/02_MOND_Emergence/index.html"
"to_publish","html_existing","Cosmological Constant from Horizon Entropy","01_TAMESIS_CORE\03_Axiomatic_Closure\Universe_Equation\03_Lambda_Derivation\index.html","","publicar/01_TAMESIS_CORE/03_Axiomatic_Closure/Universe_Equation/03_Lambda_Derivation/index.html"
"to_publish","html_existing","Quantum-Classical Transition Simulation","01_TAMESIS_CORE\03_Axiomatic_Closure\Universe_Equation\04_Transition_Sim\index.html","","publicar/01_TAMESIS_CORE/03_Axiomatic_Closure/Universe_Equation/04_Transition_Sim/index.html"
"to_publish","html_existing","Topological Origin of the Particle Spectrum","01_TAMESIS_CORE\03_Axiomatic_Closure\Universe_Equation\05_Particle_Spectrum\index.html","","publicar/01_TAMESIS_CORE/03_Axiomatic_Closure/Universe_Equation/05_Particle_Spectrum/index.html"
"to_publish","html_existing","The Tamesis Action: A Complete Unified Theory of Information, Geometry, and Matter","01_TAMESIS_CORE\03_Axiomatic_Closure\Universe_Equation\06_The_Tamesis_Action\index.html","","publicar/01_TAMESIS_CORE/03_Axiomatic_Closure/Universe_Equation/06_The_Tamesis_Action/index.html"
"to_publish","html_existing","Berry-Keating Operator Definition | Tamesis Theory","01_TAMESIS_CORE\04_Spectral_Mathematics\Berry_Keating_Operator\01_Operator_Definition\index.html","","publicar/01_TAMESIS_CORE/04_Spectral_Mathematics/Berry_Keating_Operator/01_Operator_Definition/index.html"
"to_publish","html_existing","Spectral Analysis | Tamesis Theory","01_TAMESIS_CORE\04_Spectral_Mathematics\Berry_Keating_Operator\02_Spectral_Analysis\index.html","","publicar/01_TAMESIS_CORE/04_Spectral_Mathematics/Berry_Keating_Operator/02_Spectral_Analysis/index.html"
"to_publish","html_existing","Zeta Connection | Tamesis Theory","01_TAMESIS_CORE\04_Spectral_Mathematics\Berry_Keating_Operator\03_Zeta_Connection\index.html","","publicar/01_TAMESIS_CORE/04_Spectral_Mathematics/Berry_Keating_Operator/03_Zeta_Connection/index.html"
"to_publish","html_existing","Honest Assessment | Tamesis Theory","01_TAMESIS_CORE\04_Spectral_Mathematics\Berry_Keating_Operator\04_Honest_Assessment\index.html","","publicar/01_TAMESIS_CORE/04_Spectral_Mathematics/Berry_Keating_Operator/04_Honest_Assessment/index.html"
"to_publish","html_existing","Self-Adjoint Extensions | Tamesis Theory","01_TAMESIS_CORE\04_Spectral_Mathematics\Berry_Keating_Operator\05_Self_Adjoint_Extensions\index.html","","publicar/01_TAMESIS_CORE/04_Spectral_Mathematics/Berry_Keating_Operator/05_Self_Adjoint_Extensions/index.html"
"to_publish","html_existing","Stage 7: Rigorous Mathematics | Tamesis Theory","01_TAMESIS_CORE\04_Spectral_Mathematics\Berry_Keating_Operator\index.html","","publicar/01_TAMESIS_CORE/04_Spectral_Mathematics/Berry_Keating_Operator/index.html"
"to_publish","html_existing","Stage 8: Modified Operators | Tamesis Theory","01_TAMESIS_CORE\04_Spectral_Mathematics\Berry_Keating_Operator\Modified_Operators\index.html","","publicar/01_TAMESIS_CORE/04_Spectral_Mathematics/Berry_Keating_Operator/Modified_Operators/index.html"
"to_publish","html_existing","Stage 20: Final Paper | Tamesis Theory","01_TAMESIS_CORE\04_Spectral_Mathematics\Final_RH_Paper\index.html","","publicar/01_TAMESIS_CORE/04_Spectral_Mathematics/Final_RH_Paper/index.html"
"to_publish","markdown_converted","The Cusp Scattering Phase of the Modular Surface and the ...","01_TAMESIS_CORE\04_Spectral_Mathematics\Final_RH_Paper\paper.html","01_TAMESIS_CORE\04_Spectral_Mathematics\Final_RH_Paper\paper.md","publicar/01_TAMESIS_CORE/04_Spectral_Mathematics/Final_RH_Paper/paper.html"
"to_publish","html_existing","From No-Go to Geometry: Why Riemann Zeros Require Hyperbolic Structure","01_TAMESIS_CORE\04_Spectral_Mathematics\Hyperbolic_Geometry\Connection\geometry_bridge.html","","publicar/01_TAMESIS_CORE/04_Spectral_Mathematics/Hyperbolic_Geometry/Connection/geometry_bridge.html"
"to_publish","html_existing","Stage 9: The Forced Geometry Theorem | Tamesis Theory","01_TAMESIS_CORE\04_Spectral_Mathematics\Hyperbolic_Geometry\Connection\index.html","","publicar/01_TAMESIS_CORE/04_Spectral_Mathematics/Hyperbolic_Geometry/Connection/index.html"
"to_publish","html_existing","Stage 11: Hyperbolic Laplacian | Tamesis Theory","01_TAMESIS_CORE\04_Spectral_Mathematics\Hyperbolic_Geometry\Laplacian\index.html","","publicar/01_TAMESIS_CORE/04_Spectral_Mathematics/Hyperbolic_Geometry/Laplacian/index.html"
"to_publish","html_existing","Stage 10: Hyperbolic Space | Tamesis Theory","01_TAMESIS_CORE\04_Spectral_Mathematics\Hyperbolic_Geometry\Space\index.html","","publicar/01_TAMESIS_CORE/04_Spectral_Mathematics/Hyperbolic_Geometry/Space/index.html"
